iter	Logloss
0	0.6909033478
1	0.6893107435
2	0.6872697905
3	0.6839295905
4	0.6815686655
5	0.6798518699
6	0.6764775378
7	0.6740815067
8	0.6719055018
9	0.669694946
10	0.6675528224
11	0.664055758
12	0.6620776598
13	0.6596861956
14	0.6571146257
15	0.6544325146
16	0.6520858739
17	0.6502241065
18	0.6476833895
19	0.6460424851
20	0.6442289333
21	0.6422761838
22	0.6406364292
23	0.6382933298
24	0.6349941075
25	0.6330749995
26	0.6304386058
27	0.6285163021
28	0.6256811529
29	0.6235677168
30	0.621173059
31	0.6188352922
32	0.615544436
33	0.6129879075
34	0.6112388983
35	0.6094691762
36	0.6075458932
37	0.60619654
38	0.604043808
39	0.6022076198
40	0.6004921663
41	0.5984973842
42	0.5966717601
43	0.5953852856
44	0.5930077434
45	0.590742209
46	0.5887157631
47	0.5860961062
48	0.5842649347
49	0.5825346583
50	0.5809335798
51	0.5788151884
52	0.577298066
53	0.5761374271
54	0.5738790977
55	0.572124666
56	0.5707962811
57	0.5693475348
58	0.5683370847
59	0.5666435951
60	0.5649739003
61	0.5633221543
62	0.5620015019
63	0.5607793468
64	0.5590646487
65	0.5568958747
66	0.5539868367
67	0.5522176939
68	0.5501711297
69	0.5484019119
70	0.5470662695
71	0.5453683889
72	0.5442031485
73	0.5425538856
74	0.5411098671
75	0.5392845821
76	0.5375904334
77	0.535836373
78	0.5343935263
79	0.5327136493
80	0.5312316418
81	0.5295324439
82	0.5279834628
83	0.5261187345
84	0.5245604265
85	0.5232623875
86	0.5221194553
87	0.5201705271
88	0.5183709329
89	0.51690283
90	0.5156499428
91	0.5139077973
92	0.5125202113
93	0.511432429
94	0.510601871
95	0.5088114315
96	0.5074342096
97	0.5054971313
98	0.5035983026
99	0.5024683946
