iter	Passed	Remaining
0	135	13365
1	135	6649
2	136	4402
3	136	3278
4	137	2603
5	137	2153
6	137	1831
7	138	1589
8	138	1402
9	139	1251
10	139	1128
11	139	1026
12	140	939
13	140	864
14	141	799
15	141	743
16	142	694
17	142	649
18	143	609
19	143	573
20	143	541
21	144	511
22	144	484
23	145	459
24	145	436
25	146	415
26	146	396
27	146	377
28	147	360
29	147	344
30	148	329
31	148	315
32	149	302
33	149	290
34	150	278
35	150	267
36	151	257
37	151	247
38	151	237
39	152	228
40	152	219
41	153	211
42	153	203
43	153	195
44	154	188
45	154	181
46	155	174
47	155	168
48	156	162
49	156	156
50	157	151
51	157	145
52	158	140
53	158	135
54	159	130
55	159	125
56	159	120
57	160	116
58	160	111
59	160	107
60	161	103
61	161	99
62	162	95
63	162	91
64	163	87
65	163	84
66	164	80
67	164	77
68	165	74
69	165	70
70	165	67
71	166	64
72	166	61
73	167	58
74	167	55
75	167	53
76	168	50
77	168	47
78	169	44
79	169	42
80	169	39
81	170	37
82	170	34
83	171	32
84	171	30
85	172	28
86	172	25
87	173	23
88	173	21
89	173	19
90	174	17
91	174	15
92	175	13
93	175	11
94	176	9
95	176	7
96	177	5
97	177	3
98	178	1
99	178	0
