Name,Address,City,State,ZipCode,Phone,CardiacRating,EmergencyServices,Specializations,BedsCount,Website
Mount Sinai General Hospital,3757 Hospital Dr,Miami,DE,13905,(295) 423-4811,4.6,True,"Congenital Heart Disease, Interventional Cardiology",567,www.mountsinaigeneralhospital.com
Colorado Springs Heart & Vascular Institute,9028 Health Blvd,Colorado Springs,AK,65392,(548) 484-3547,3.8,True,"Heart Surgery, Heart Failure",270,www.coloradospringsheart&vascularinstitute.com
New Orleans Regional Medical Center,1684 Medical Ave,New Orleans,MI,26361,(587) 280-5803,4.8,True,"Vascular Surgery, Preventive Cardiology",693,www.neworleansregionalmedicalcenter.com
Raleigh Cardiovascular Hospital,1239 Main St,Raleigh,MS,23238,(589) 484-8428,4.5,True,"Cardiac Rehabilitation, Congenital Heart Disease",700,www.raleighcardiovascularhospital.com
Johns Hopkins Sacred Heart Hospital,4474 Healing Rd,Portland,HI,59735,(476) 855-4598,4.9,True,"Cardiac Rehabilitation, Electrophysiology, Vascular Surgery",751,www.johnshopkinssacredhearthospital.com
Boston Medical Center,625 University Ave,Boston,WY,75435,(605) 858-8517,4.0,True,"Heart Failure, Electrophysiology, Vascular Surgery",196,www.bostonmedicalcenter.com
Cleveland Clinic Baptist Hospital,4404 Healing Rd,Charlotte,FL,21915,(973) 248-2796,4.4,False,"Heart Failure, Electrophysiology, Congenital Heart Disease, Preventive Cardiology, Cardiac Rehabilitation",206,www.clevelandclinicbaptisthospital.com
Mayo Clinic Veterans Hospital,6352 Care Way,Miami,HI,80381,(968) 473-6573,5.0,True,"Electrophysiology, Heart Failure",164,www.mayoclinicveteranshospital.com
Johns Hopkins Community Hospital,4415 Care Way,Denver,NV,93748,(719) 823-4258,4.6,True,"Preventive Cardiology, Congenital Heart Disease",206,www.johnshopkinscommunityhospital.com
Portland Community Hospital,8789 Main St,Portland,WI,50306,(445) 259-4946,4.4,True,"Heart Failure, Congenital Heart Disease",630,www.portlandcommunityhospital.com
Philadelphia County Medical Center,8827 University Ave,Philadelphia,CO,65461,(416) 752-4295,3.7,True,"Preventive Cardiology, Vascular Surgery, Congenital Heart Disease",780,www.philadelphiacountymedicalcenter.com
Cleveland Clinic Sacred Heart Hospital,7497 Main St,Washington,MT,38864,(207) 272-1964,3.9,True,"Cardiac Rehabilitation, Preventive Cardiology",284,www.clevelandclinicsacredhearthospital.com
Phoenix St. Mary's Hospital,3999 Medical Ave,Phoenix,AZ,63354,(394) 296-2588,4.5,True,"Vascular Surgery, Electrophysiology, Cardiac Rehabilitation",724,www.phoenixstmaryshospital.com
Memphis Veterans Hospital,987 Healing Rd,Memphis,MN,54473,(311) 454-4139,4.5,True,"Congenital Heart Disease, Heart Failure",244,www.memphisveteranshospital.com
Cedar Sinai University Hospital,7679 Hospital Dr,Mesa,NH,80855,(215) 295-4872,4.8,True,"Interventional Cardiology, Heart Failure",220,www.cedarsinaiuniversityhospital.com
Detroit County Medical Center,6670 Main St,Detroit,NY,82845,(877) 935-8973,3.7,True,"Preventive Cardiology, Congenital Heart Disease, Cardiac Rehabilitation, Heart Surgery, Heart Failure",208,www.detroitcountymedicalcenter.com
Cleveland Clinic Memorial Hospital,8983 Main St,San Francisco,ME,18981,(809) 269-4853,4.6,True,"Heart Surgery, Interventional Cardiology, Preventive Cardiology, Congenital Heart Disease, Electrophysiology",463,www.clevelandclinicmemorialhospital.com
St. Joseph Baptist Hospital,1443 Health Blvd,San Diego,OR,41285,(471) 605-3144,4.5,True,"Preventive Cardiology, Electrophysiology, Heart Failure, Heart Surgery",737,www.stjosephbaptisthospital.com
Virginia Beach City Hospital,1288 Main St,Virginia Beach,MD,37938,(718) 471-3170,4.2,False,"Electrophysiology, Preventive Cardiology",407,www.virginiabeachcityhospital.com
Phoenix Sacred Heart Hospital,7279 University Ave,Phoenix,KS,23577,(337) 470-2891,4.3,True,"Preventive Cardiology, Heart Failure",159,www.phoenixsacredhearthospital.com
Bakersfield University Hospital,3550 Healing Rd,Bakersfield,OK,93136,(633) 483-1722,4.0,True,"Vascular Surgery, Heart Surgery, Interventional Cardiology, Heart Failure",53,www.bakersfielduniversityhospital.com
Cedar Sinai University Hospital,2747 Healing Rd,Nashville,WY,29536,(758) 236-7049,4.2,True,"Electrophysiology, Interventional Cardiology",646,www.cedarsinaiuniversityhospital.com
Kansas City Veterans Hospital,5150 Medical Ave,Kansas City,GA,99399,(455) 882-2684,4.8,True,"Heart Failure, Electrophysiology",412,www.kansascityveteranshospital.com
Johns Hopkins Veterans Hospital,2632 Hospital Dr,Honolulu,OK,53540,(621) 885-5065,4.8,False,"Congenital Heart Disease, Interventional Cardiology, Electrophysiology",323,www.johnshopkinsveteranshospital.com
St. Joseph Regional Medical Center,7811 Hospital Dr,Austin,VT,13101,(875) 397-7528,3.8,False,"Preventive Cardiology, Congenital Heart Disease, Electrophysiology, Heart Failure",386,www.stjosephregionalmedicalcenter.com
Cleveland Clinic Methodist Hospital,6648 Healing Rd,Seattle,CA,33405,(794) 471-1626,5.0,True,"Electrophysiology, Heart Surgery",161,www.clevelandclinicmethodisthospital.com
Cedar Sinai Sacred Heart Hospital,7249 Care Way,Colorado Springs,NV,67154,(201) 732-9821,5.0,True,"Preventive Cardiology, Interventional Cardiology, Heart Failure",753,www.cedarsinaisacredhearthospital.com
St. Joseph Memorial Hospital,5509 Care Way,Wichita,WV,62743,(913) 502-3085,4.0,True,"Preventive Cardiology, Heart Failure, Cardiac Rehabilitation, Heart Surgery",246,www.stjosephmemorialhospital.com
Mount Sinai Children's Hospital,9424 Medical Ave,Detroit,TX,89516,(870) 529-8618,4.1,True,"Preventive Cardiology, Electrophysiology, Cardiac Rehabilitation, Vascular Surgery",502,www.mountsinaichildrenshospital.com
Louisville Memorial Hospital,2880 Healing Rd,Louisville,UT,39444,(403) 350-1400,3.6,True,"Electrophysiology, Congenital Heart Disease, Vascular Surgery, Heart Surgery",97,www.louisvillememorialhospital.com
Johns Hopkins Heart Institute,9531 Hospital Dr,Fort Worth,NM,65724,(424) 380-9486,4.6,True,"Cardiac Rehabilitation, Electrophysiology, Heart Failure, Interventional Cardiology, Preventive Cardiology",525,www.johnshopkinsheartinstitute.com
St. Joseph Baptist Hospital,7578 Hospital Dr,Houston,OK,65933,(761) 656-3607,4.7,True,"Vascular Surgery, Preventive Cardiology, Heart Failure, Congenital Heart Disease",536,www.stjosephbaptisthospital.com
Cedar Sinai Baptist Hospital,8640 Health Blvd,Louisville,KY,45614,(543) 527-9849,4.4,True,"Preventive Cardiology, Electrophysiology",132,www.cedarsinaibaptisthospital.com
Mount Sinai Baptist Hospital,3605 Main St,Dallas,GA,86556,(912) 220-7232,4.1,True,"Congenital Heart Disease, Interventional Cardiology, Electrophysiology, Cardiac Rehabilitation, Preventive Cardiology",538,www.mountsinaibaptisthospital.com
New York Presbyterian Hospital,6965 Care Way,New York,MN,67125,(697) 229-7371,4.6,True,"Vascular Surgery, Electrophysiology, Heart Surgery",394,www.newyorkpresbyterianhospital.com
Oakland Children's Hospital,7757 Hospital Dr,Oakland,UT,70515,(386) 251-5262,5.0,True,"Interventional Cardiology, Vascular Surgery, Heart Failure, Cardiac Rehabilitation, Electrophysiology",438,www.oaklandchildrenshospital.com
Boston City Hospital,6311 Medical Ave,Boston,IN,16826,(558) 429-2124,4.6,True,"Electrophysiology, Cardiac Rehabilitation, Interventional Cardiology, Preventive Cardiology",717,www.bostoncityhospital.com
Mount Sinai General Hospital,433 Care Way,Chicago,WI,43586,(985) 577-3749,3.7,True,"Cardiac Rehabilitation, Vascular Surgery",670,www.mountsinaigeneralhospital.com
Mount Sinai Regional Medical Center,5196 Main St,Colorado Springs,WV,23356,(913) 991-5941,4.4,False,"Congenital Heart Disease, Heart Failure, Electrophysiology, Interventional Cardiology, Vascular Surgery",750,www.mountsinairegionalmedicalcenter.com
